review,label
fully fraud nothing good to say about this system and application just useless and money gobbler,0
doesnt open,0
bhai  din se log in nai ho rha hai thodi sharam krlo yaar hadd hai,0
very poor service even i cant create account,0
app has good ui however bit slow in payment processing while booking tatkal ticket even with wallet it keeps rotating unless all tickets are booked recently booke a tatkal ticket with wallet payment afterward train got cancelled and o got refund without wallet transaction charges it should be refunded fully as train cancellation was not due to mine fault,2
properly nahi chal raha hai,0
the worst app that is developed it asks for me to change my password once the otp is sent to my mail the moment i switch to mail and comes back the password reset page in the app is refreshed and asks again to change the password what a terrible app basically this process is now a never ending loop,0
good,2
the app is malfunctioning since last  days its not opening and everytime ive to uninstall and install to open it,0
very bad service,0
not able to log in on mobile app since  days complain not twitter n on the equery no solution yet  have to uninstall n reinstall to log in,0
third class railway,0
the app is not working properly every time it has some issues after the maintenance yesterday i faced login issues i had gotten less refund from irctc due to their technical glitches and site problems i was not able to cancel the ticket before due to the login issues in the application and website both i have contacted their support and query feature as well but no response even after sending mails or raising queries,0
i recently lost  while booking a train ticket on irctc the system showed available seats but after payment it became waiting list when i cancelled irctc deducted  per person  without ever telling me the refund rules clearly before booking as passengers we deserve transparency irctc should show all important details before payment like whether the ticket will be confirmed  rac  wl exact refund deduction in case of cancellation realistic confirmation chances,0
nothing works on this app,0
all the software engineers who made this app deserve a standing ovation this is what happens when engineering students dont study properly this app is a perfect example of that nowadays a class  standard student can code better app than this ridiculously buggy and poor ui app,0
why they dont have negative star marking worst app,0
good performance app,2
bhikari government ki gst vasoli  to ticket k dynamic charges uske uper convinient fees vo bhi gst k sath platroem fees means public ki earning ko lootne ka koi tarika baki nahi chodo or new new fees  tax add ker do pure rail staff ki fees bhi add ker do public ki pocket me kuch bhi  mat chodo sab kha lo in case railway jab khud train cancel kare to usme bhi refund pe gst please add  other convinient charges  gst there also ,0
i cant add money in wallet because the maximum amount is zero during tkt booking im always getting waiting list while payment it is showing ticket availability in double digit but after paying it takes  mins to show result as waiting list in double digit,0
app is lagging so much whenever i start the app and search for train booking the app lags and i have to restart the app for booking,0
worst application  doesnt run smoothly,0
very bad application,0
excellent updates daily,2
bakwas hai irctc payment kat ta hai or servar down,0
last night me and my wife travelled from kolhapur to mumbai in mahalaxmi express  s seat numbers   would like the authorities know that the toilets in this compartments both sides were very dirty many people especially ladies refused to use the toilet its the same story always the tiles stinks expecially when you have your seat at the entrance of the bogey the authorities should take note and keep the toilets clean,0
app not opening,0
worst performance very very disappointing,0
it is a useless app it keeps loading all the time sometimes this app does not work,0
the app does not open easily and it is buffering all the time especially these last two days,0
worst appwhat you can expect with the government app every time when i try to book a tatkal ticket it shows that this site is currently unreachable or unable to process requests ,0
not open after one day or two days use to irctc for login train confirm ticketvia pin no,2
very poor experience there is a prompt to change ones password when i switch to my mail to check the password screen refreshes making it impossible to change the password,0
worst ever,0
worst experience i was trying to authenticate aadhar from last  month and app keep saying error processing your request but when i tried from laptop the error was my name on aadhar was not matching with irctc account name even after knowing it i was not able to authenticate because i exhausted my aadhar authenticate requests why cant you just display error message on app properly just like website ,0
very helpful app,2
this app is best than other app,2
very poor app most of the time not loading after validating pin stage poor response from customer care,0
you can never book tatkal tickets from this app application server gets overloaded and error message appears on screen during tatkal booking time application of no use,0
after a long time irctc has created a new history they have there own problem centre now this time they a new one  there seems to be a connection issue with your request  please try after some time one more issue is ip address  dalal se earning he karni hai toh app mtt banao na,0
one can never book a tatkal ticket from this app even after verifying my aadhar i am not able to book tatkal ticket money will be deducted from account but the app will show nothing after few minutes it says your session expired it happens every time they will take your money and return it after  to  days you dont get your ticket  your money will get stuck for  to  days if you cant give tatkal ticket why even bother to give us the option for tatkal booking,0
bhangar application,0
useless app,0
very poor app for e ticketingduring tatkal hour booking is not possible than what is the need of this app now the time is came to completely privatised the ticket booking process after complete privatisation of ticketing process it becomes easy for everyone,0
worst app ever keeps logging out again and again during tatkal booking payment fails shows ip blocked and money gets deducted but no ticket booked takes  mins for one ticket always goes to waiting list horrible experience useless app needs serious fixing ,0
worst app,0
worst app ever seen,0
its fabricated,0
irctc interface very bad and ticket booking  month waiting waiting waiting,0
very bad experience this is all the fault of the railway people india has progressed so much in development still these people deliberately spoil their server improve it while booking tatkal ticket they are logout this is very wrong for us middle class people ,0
fix your serverwrost app,0
not working asking password change again and again very bad experiance,0
very useful for booking tickets and checking status,2
verryyy worst server ever i have been seen worst appp,0
now it is not even logging in pathetic app,0
biometric opp not available now login problem from last one month all time sow validating pin,0
take too much time for login every time the cache cleared required,0
always server unavailable disgusting app,0
does not work,0
the worst ui the worst experience you guys should get your app developed from a professional not a freelancer edit after  yrs  still the same thing the worst app in the world award goes to irctc rail connect kudos you have kept the spot unchanged for many years,0
dont use cheap software engineer,0
edit if there was an option for a star lower than  i would give that first of all i hate the tatkal system the tatkal system is so good that an error message keeps popping up saying i have a connection error but my wifi even with a speed of mbps cant help getting a tatkal ticket but the ads keep running how nice irctc i spam the next button only to see another pop up saying unable to identify client requests and logs me out adhaar link for stealing passenger data and display ads,0
good application,0
good,2
application not open many time,0
good,2
irctc app is not working nor is the booking facility correct,0
why not open this site app,0
nothing can be worse than this never install dont they have an option to give minus five stars as rating,0
very poor app when i book taktal ticket app shows unable to request page very bad  very poor app  it immediately kickout from app,0
totally frustrating  i tried multiple times to book a tatkal ticket but every time app crash and logout my id,0
this is disgusting the password or username is not matching or when i forgot or change the password its proper not change and give phone number reason or email reason extra extra,0
cancel ticket option not show,0
not working properly,0
vulnerable to use,0
i tried to login but didnt there was no error shown on the page every time login issue even finger print authentication successful,1
ye app kalse open kyu nahi ho rha every time i am trying to login it always says processing and failed,0
useless aap and people,0
reservation made easy kudos to indian railways thanks a lot irctc,2
from last  days i am trying to cancel my online ticket but not able to login app not working,0
irctc aap work is not properly,0
its keep on loading,0
i unable to login after update the app,0
tatkal ticket never gets booking app always hang shows error,0
its the most pathetic government app its so exploiting in nature problem is in their server and we have to suffer almost always,0
app updated on  november  but regret to say that after update its not working what is the use of this app if it didnt work when required earlier version was good and smooth function but its worse today it didnt open when i require d to book a ticket,0
best,2
this app instead of improvement the operating functions are very poor now a days once you open you have to refresh for checking the seat availability and fare and most of the time we get the message the app is not responding i have written the above message long back but no improvement,0
since one week unable to access my irctc rail connect app provides everything whatever is required but the app keeps waiting time too much dont whats the issue with app or any kind of bug or malfunction of the i hope this issue short it out soon i request the responsibility of team please look into this issue and solve it asap,1
bad net work,0
not  response,0
what a waste app unable to authenticate my adhaar and the population of the country sucks like you cant even have  minutes for booking tickets cuz all will get sold out,0
worst techs bugs and glitches everytime,0
grate applications everything is good like booking  all but tatkal booking system is mustly have to more helpful by not lagging on the time railway have to add an option for ordering food directly from pantry as per pnr no given,2
the app has become increasingly unreliable lately showing various errors that were never encountered before its especially disappointing during tatkal bookings where it often logs out unexpectedly and takes an unusually long time to confirm tickets after payment the developers should personally try booking a tatkal ticket through this app to truly understand the challenges users are facing,0
super,2
i am not able to login to the irctc app from the last  days onwards i tried uninstall and reinstall again but no lucky please fix the problem,0
super,2
buggy after latest update,0
when booking tatkal tickets you are prompted to log in and there are a lot of problems booking tatkal tickets,1
worst service high speed internet connection still keeps circling unable to do adhar authentication show some sincerity railway walon,0
facing login issue after entering password stuck at validating pin and wont login have to clear cache everytime to login the worst app ever,0
it is not working in my android device it is keep on loading in validating pin itself not moving further,0
too much advertisement and more time show data not retrive again try and again try,0
bad service ,0
no mobile number change option so i couldnt use,0
login issue,0
booking tatkal tickets from irctc is a very bad option when you go to book a ticket it shows a lot of tickets even after the payment is done within  minute the app keeps buffing and the ticket gets booked waiting  and if the waiting ticket is not confirmed still your money is not refunded in full in such a situation irctc will deliberately make the waiting list very long and even for the waiting ticket which cannot be confirmedthis is a fraud with the user,0
worlds jhantu railway rule for booking tickets  even your children are booked apart from ur family ,0
one of the worst app,0
the app has suddenly slowed down unable to even log in,0
i find this apps core features useful but i must flag two major areas for improvement especially given its a train booking app first the performance is noticeably slow the lag when searching for train availability or loading the final booking pages is a critical flaw that needs immediate attention second please consider adding regional language support,0
one of the worest app i am booking ticket from last week takkal quota i am not getting only that too same time same train i have the proof if amount debited ticket is not available if money debited ticket is in waiting as soon as you open at  pm they will throught u out of the app now what is the value of addhar card verification done no value scam scam please reply,0
best,2
worst ever,0
app stuck in train search screen suddenly this is happening not able to book a ticket,0
pathetic app takes a life time to login every time have to uninstall and reinstall to login wish there was an alternative app that can end the monopoly of irctc,0
 of the time the app gets stuck at validating pin these days,0
best but always one problem faced unable to transaction etc,2
auto logout and not able to log in again,0
app is super glitchy wont open most of the time and reinstalling only works temporarily booking process is painfully slow even with good signal couldnt complete transactions multiple times due to slowness earlier it was much smoother and faster needs a lot of improvement,0
when ever i am going to ticket booking not working at all time,0
chalato chand tak nhi to rat tak,0
worst app to use,0
app is not working also its showing validating pin,0
not opened,0
very bad app,0
very slow,0
worse app,0
good,2
worst maintenance,0
this is a terrible app nothing works properly it doesnt work when needed absolutely terrible and useless,0
       irctc                           ,0
good,2
worst app cant even login in general timings,0
many new issues  it seems that they have now made some shady deal with makemytrip where irctc now shows waiting list for seats of vande bharat train even many days in advance but same tickets are available on mmt for double the price this is for tickets numbering in  not some small number of tickets according to me this is fraud with the general public  irctc app has stopped showing the option for no meal and forces one to choose between veg or non veg meal,0
from  days i ambttying to login i need to book a ticket the rubbish app doesnot open whats the problem spend some money on app railway ministry,0
very good ,2
third class app wallet for rupees cut and fail for receiving  ya  days,0
app not working fast from  months,0
nice,2
the train toilet is not clean properly with a very bad smell and very old coach,0
app is not opening,0
worst app ever,0
excellent,2
bad appp no downlod this app,0
login interface in painful booking experience is bad while booking by mistake we tend to click on ads login is failing since morning  nov ,0
too good,2
good servies,2
app is not getting login through biometric or pin everytime i had to uninstall the app reinstall it and then need to login through username and password facing error since long,0
best aps,2
please remove useless ads fix performance and functionality issues apps like confirmtkt are user friendly kindly use that app and learn from it,0
now a days its became too slow to open the app its hoorible to see the status as well,0
hopeless and third class tdr not file only error error and error,0
these days the app doesnt let you login easily it shows validating pin for a long time and finally will not permit to login the issue has been observed since past  weeks and is still not resolved moreover now a days the website through which tickets can be booked is also not easily accessible sometimes the relevant url to book tickets may not be available quite disappointing,0
one of the worst app in the entire world when we are in hurry to book a ticket the screen just says pin in validation for hrs,0
comstantly getting login issues its the only app and still showing somany issues,0
not open even in late night bogus app,0
doesnt work half of the time not able to login since  weeks pathetic service,0
login problem,0
not able to get confirm tickets online by ourself ticket show all ready booked this app is not for us to book tickets easly bakvas app is is all tickets are in waiting list and tatkal ticket you not able to book life time from this irctc app,0
irritating nowadays days buffering at validating pin message pop up after three times closed and opened then only opens admin pl attend and solve the issue,0
login issue,0
super,2
waste of time,0
very good nice app,2
day by day it is getting worse in every update app not opening,0
nice app,2
worst apponce the password is expired and i cannot renew it,0
unable to login,0
everytime says validating pin and waits for ever,0
nice,2
best indian app for railway ticket booking ,2
easy to use,2
cant book ticket with this app in proper time cant able to login with this app in time very disturb and disappointing,0
bed performance ,0
app not logging in please help,2
not able to login everytime i have uninstalled app and then again loginafter setting up pin and enabling biometric next time its doesnt log in,0
login issue not able to login,0
unable login application,0
good good,2
experiencing worst at present ,0
you should have  login for airline ticket and tourism as well why do we have to down a separate app for each service more over it does not have a round trip booking option for rail tickets it does not tell you the features and benefits that are available on a particular train so if you could add that it will be great you call center number does not get connected at all it always says busy so you need to enhance that get a better developer for this is  grow up,0
dont know what happened to this app every time i have to uninstall and reinstall else it will hang while trying to open already cleared caches files etc but nothing is working,0
very bad,0
login taking time like forever at last need to force close the app this is after last update if cant solve the bug undo last update after that reinstalling app will be better,0
showing validating pin for so long i am unable to book tickets from pas  weeks,0
good,2
they hired bunch of monkeys to develop this app sorry even monkeys can develop better app than this,0
very bad experience because this app of always server is down,0
i hv been trying to authenticate user via adhar no but i am unable to do so repeatedlyerror msg pops unable to process your requestthus i am unable to book confirmed tickets too,0
very bad service,0
the app has been giving log in issues for a few weeks unable to access the account on the app i m able to access on web,0
not taking password,0
not opening app recently onwards please do it for fast login,0
not signing in easily,0
worst app ever used,0
not work,0
worst app ever this is what happens when there is monopoly in market slow app regular crash unnecessary ad,0
very good,2
app for last  days not opening despite reinstalling multiple times it keeps spinning after biometric and then goes to login page again,0
even though train is available between hyderabad and solapur it is showing train not found need some serious fix also overcharging quite times in takal tickets updatenov  googlepay payments failing try later not working when tatkal is needed need improvements,0
thank you irctc,2
only it shows a validating pin,0
very slow app,2
poor app you need to put your pin twice doesnt work at one go during tatkalpremium tatkal its even more pathetic authority need to care in an age of ai you can not be like this,0
extremely poor service,0
 app doesnt move fwd from validating pin page its latest versionx rating is because of too many advertisements as such app is good and helpful have a way to resend text message,0
cant go past from validating pin,0
last update one worstes update tatkal ticket booking unable to process or ip client error waste,0
nowadays too much problem for login and validating pin  like tha showing,0
pin validation been worst after last update on s ultra,0
poor,0
ticket proses very good thank you for irctc rail connect,2
is anything problem since last  days app not opening,0
after entering login details couldnt able to loginjust loading and failed,0
of late has become very dlow,1
very bad app tickets didnt get confirmed after getting vikulp option,0
best apps,2
from this diwali  i am trying to authenticate aadhar but it shows error or sometimes said failed tell us how then we will authenticate aadhar and use app for tatkal tickets,0
good,2
the app doesnt even open absolute shame,0
the booking system is deeply flawed most useless it mgmt needs privatisation you want to torture yourself mentally then pls use irctc train booking new nonsense innovation is aadhar authentication and the system doesnt work easily and then your quota is done for the daytry next day super,0
my app is not working at all for every time i am opening the app is hanging and all time i have to uninstall and install for every transaction continuously i am asking for help but no solution till now,0
worst appit is not opening since  days everytime i need to uninstall it then it opened for once onlyif i try to open   days later again it just verifying for so long n showing errorn i am talking about normal timesn for tatkal its like bhool jao ki koi tkt v milega,0
login issues persist,0
unable to login its showing validating pin for a long time,0
whenever booking a tatkal ticket the amount gets deducted from my bank account within  to  seconds but the system buffers for about  minutes and finally says that the ticket was not booked after the amount is deducted it takes too long and still doesnt confirm the booking cant even go back to book without any confirmation,0
thank,2
irctc has many problems,0
very bad experience,0
all over okay,2
i am trying to book tatkal ticket from  day and every time its saying connection error but after  to  min the app is working very smooth all the problem arise when tatkal seat are available and when seat is not left all such problem is over since  day same problem is happening and my father saying me nalaykhworthless because of this so please tell me how i convenience my father that its not my mistake or connection problem its app problem reply the reason which convenience my father,0
what is the use if we cant even log in it keeps on validating the pin only,0
app is taking too much time to login but not able to loginneed to book tickets but cant book because of login issue,0
very poor not working only buffering previously it was good but from  days i cant buy a ticket because app is stopped working in my phone even though i have done my kyc adhar verification everything but still not working,0
app not working properly,0
nice app,2
not getting pin validated to do login,0
at the time of logging in the app after i have entered my credentials its has been showing validating pin continuously for  mins i have been facing this issue from the last  weeks irctc has made the systems of password setting pin email etc so strict that it cause so much of inconvenience and after all that there is again this failure i swear if there was some other alternative of this app then i would have used it but the thing is that indian railways have monopoly,0
much better,1
always showing validate pin mc app seriously irritating while bookingits better to privatize this services,0
very worst app required update,0
app not login validating pin problem please resolve this issue,0
very pathetic service to check seat availability every to have to uninstall and install this pathetic app please work on this,0
login problem progress,0
very bad app gatar chhap app from gatar chhap railway systemkha thuwhen try to get appit shows validating pinthen nothing is going to happenapp from india mostcurrupted people,0
preg and female pref lower birth dena chahiyejaise ek column hai na ki allocate only when births are confirmedwaise hi ek preg female aur allocate only when lower birth are allocated wala box ho opt krne k liyeek aur prob hai ki irctc walo tatkal booking k time tm jo ticket pending rhta h usko pending hi rkho dusra book kr leta h insaan aur paise do ticket k chl jate hain,0
worst app,0
when i try to login it says validating pin,0
worst app,0
good,2
ek saptah se try kar raha hu  kbhi login nhi hota hai fir jaise lgta hai server hamesa hi down rahta hai  worst app hai ya koi scam chal raha hai yaha ,0
it will search trains after the holidays are completed and may be sold to private companies,0
not logging in after entering password and captcha too,0
too much problem booking ticket and at last not booked,1
not able to login and view the tickets after the update,0
always shows error while booking the ticket or in tatkal app freezes like an ice,0
it takes too much time to login,0
not good,0
fantastic experience i spent  days learning how to fail at honest tatkal booking then one agent taught me the real shortcut  pay extra and get instant confirmation feels great to see how smoothly corruption runs while apps crash and rules keep changing indian railways should win an award for teaching patience helplessness and sarcasm all at once,0
great,2
i am using this app since  and now a days this app has become worst and the number of tickets also are not showing what about this kind of glitch in an official app then how i will book the ticket from this ,0
second worst app first still retain by irctc website,0
not working properly,0
app mostly not working on android phone,0
one of the shittiest app every time you open the app you need to login and sometimes login can take a day,0
login not working it keeps showing the message please wait issue not resolved since i checked last time one week back,0
good,2
disgustingly bad app as far as registration and captcha is concerned,0
very slow and always creates trouble while booking tatkaal tickets,0
crazy app full of advertisement they are making money on ad also they are not bothered about customer facing problem in login and slowness but they have put full of advertisement on all the screen and loading the app,0
the app has stopped working properly after update kindly fixit keeps on saying validating dont allow to log in is this a special arrangement for agents only ,0
this app is getting worse with time and in the name of the facilities the app is making us fool whenever i enter the password to open the app it shows the validating process for minutes and then demands a password again fix the issue asap,0
good app for rail ticket,2
bad network slow website application,0
adhaar authentication completed already but it still shows that go to account and authenticate adhaar very bad experience i didnt complete my booking due to this glitch,0
login issue,0
very bad experiencing this app not properly working at the time of tatkal booking thats why my tatkal booking always leave,0
one of the worst application i have ever seen during tatkal they will deduct money without giving booking confirmation and will return money within  working days with extra tatkal charges irctc running with these charges only,0
my profile is aadhar authanticated still app gives a pop up saying that you need to authenticate your profile for tatkal reservation and not allowing me to proceed for tatkal tickets what the hell is this ,0
good,0
very poor response at the moment validating pin is displayed on the login screen but login is not happening,0
for tatkal time app not working,0
never ever opens to book the tatkal tickets always shows error even after registering with aadhaar worst app,0
worst app of irctc every time the app shows  mins for login and during tatkal booking show  there seems to be a connection issue with your request please try after some time after  to  mins found ok means that app crashed during tatkal booking,0
such a worst app,0
today i tried to book an instant ticket on the irctc app but the ticket could not be booked so you should try to fix it as soon as possible if there is any load on this app then try to reduce it ,0
                         ,0
worst app ever  its better to use third party apps to book tickets,0
open nhi ho raha hai please wait kar raha hai,2
login issues with this app nowadays,0
we are experiencing very bad experience with you at the prime time of ticketing ,0
corruption pokes its nose here too,0
tatkal ticket ke samay ye app automatically logout ho jata hai,0
this app is good but in some cases it shows problems while booking tatkal tickets the app automatically logged out while using irctc wallet the payment process takes time and provides tatkal waiting in many cases the login process takes to much time in tatkal cases,1
wrost experience,0
app is not working properly and having issues after the aadhar verification,0
there is a lot of error to use application ticket not book easily in this web,0
bohot hi ghatiya app hai,0
pathetic app designed for brokers with special privilege to book tickets and sold at a higher price the general public cannot book a tatkal ticket either they wont be able to login or it will be stuck on the payment step and only will start working once all the ticket finished people are getting befooled app developers must have given some privilege to brokers,0
each tatkal ticket ticket sold to fraud ways with the behalf of railway ministry and his staff ,0
nice app or ticket booking started hote hi ticket waiting ho jate hai,2
login issue,0
always getting problems with tatkal booking connection error or automatic logout,0
does not open the app too much delay,0
bad experience server issue ,0
worst railway in the world  hr delay and tatkal booking is a hectic one,0
worst application,0
very bad experience,0
sabse bekar apps,0
